semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,Unnamed: 8,status
254,Rua do Bom Pastor,Rua Comendador A. de Carvalho,ENGENHO DO MEIO,-8.041855,-34.938849,E,Veicular,1.0,funcionando
255,Cais da Alfândega,Em frente ao Shopping,MADALENA,-8.050040,-34.9083,E,Ocasional/Ped.,1.0,funcionando
256,Av. Norte Miguel Arraes de Alencar,Em frente a Mat. Barros Lima,CASA AMARELA,-8.020638,-34.923509,E/Git,Ocasional/Ped.,1.0,funcionando
257,Rua Benfica,Rua Real da Torre,MADALENA,-8.057092,-34.909243,E/Git,Ocasional/Ped.,1.0,funcionando
258,Av. Visconde de Jequitinhonha,Av Armindo Moura,BOA VIAGEM,-8.150556,-34.909229,E/Git,Veicular,1.0,funcionando
259,Av. Recife,Rua Senador Alberto Pasqualine,ESTÂNCIA,-8.079617,-34.933912,E/Git,Veicular,1.0,funcionando
260,Av. Sul,Rua Nova da Cabanga,CABANGA,-8.077861,-34.897881,E/Git,Veicular,1.0,funcionando
261,Av. Recife,Rua Nossa Senhora de Fátima,ESTÂNCIA,-8.082634,-34.932978,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
262,Av. Caxangá,Praça do Caxangá,VÁRZEA,-8.031780,-34.95491,E/Git,Veicular,1.0,funcionando
263,Av. Caxangá,Estação BRT Túnel da Abolição (Cid/Sub),MADALENA,-8.056430,-34.91009,E/Git,Ocasional/Ped.,1.0,funcionando
264,Av. Caxangá,Estação BRT Túnel da Abolição (Sub/Cid),MADALENA,-8.056584,-34.910117,E/Git,Ocasional/Ped.,1.0,funcionando
265,Av. Caxangá,Estação BRT Getulio Vargas (Cid/Sub),CORDEIRO,-8.050146,-34.921422,E/Git,Ocasional/Ped.,1.0,funcionando
266,Av. Caxangá,Estação BRT Getulio Vargas (Sub/Cid),CORDEIRO,-8.050299,-34.921551,E/Git,Pedestre,1.0,funcionando
267,Av. Caxangá,Estação BRT Forte do Arraial (Cid/Sub),CORDEIRO,-8.048130,-34.925055,E/Git,Ocasional/Ped.,1.0,funcionando
268,Av. Caxangá,Estação BRT Forte do Arraial (Sub/Cid),CORDEIRO,-8.048288,-34.925162,E/Git,Ocasional/Ped.,1.0,funcionando
269,Av. Caxangá,Estação BRT  BR 101 (Cid/Sub),IPUTINGA,-8.038388,-34.942657,E/Git,Ocasional/Ped.,1.0,funcionando
270,Av. Caxangá,Estação BRT  BR 101 (Sub/Cid),IPUTINGA,-8.038523,-34.942786,E/Git,Ocasional/Ped.,1.0,funcionando
271,Av. Abdias de Carvalho,Próximo a UPA - Torrões (Cid/Sub),TORRÕES,-8.063964,-34.935793,E/Git,Ocasional/Ped.,1.0,funcionando
272,Av. Abdias de Carvalho,Próximo a UPA - Torrões (Sub/Cid),TORRÕES,-8.064074,-34.935713,E/Git,Ocasional/Ped.,1.0,funcionando
273,Av. Caxangá,Estação BRT - Zumbi (Cid/Sub),ZUMBI,-8.053311,-34.915731,E/Git,Ocasional/Ped.,1.0,funcionando
274,Av. Caxangá,Estação BRT - Zumbi (Sub/Cid),ZUMBI,-8.053461,-34.915814,E/Git,Ocasional/Ped.,1.0,funcionando
275,Av. Caxangá,Estação BRT Parque do Cordeiro (Cid/Sub),CORDEIRO,-8.046260,-34.928452,E/Git,Ocasional/Ped.,1.0,funcionando
276,Av. Mascarenhas de Morais,Em frente a UPA da Imbiribeira CID/SUB,IMBIRIBEIRA,-8.120813,-34.914266,E/Git,Ocasional/Ped.,1.0,funcionando
277,Av. Antônio de Góis,Rua Miranda Falcão,PINA,-8.087743,-34.884504,E/Git,Pedestre,1.0,funcionando
278,Pça. da República,Rua do Imperador,SANTO ANTÔNIO,-8.061501,-34.877182,E,Ocasional/Ped.,1.0,funcionando
279,Av. Mascarenhas de Morais,Rua Álvaro Amorim,IMBIRIBEIRA,-8.086972,-34.90758,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
280,Rua Tomás Gonzaga,Rua Profº.Estevão Fran. da Costa,CORDEIRO,-8.048433,-34.919173,E/Git,Veicular,1.0,funcionando
281,Av. Joaquim Ribeiro,Rua Ribeiro Pessoa,CAXANGÁ,-8.030013,-34.958002,E/Git,Veicular,1.0,funcionando
282,Rua Jerônimo Vilela,Rua Franklin Távora,CAMPO GRANDE,-8.028109,-34.882152,E,Veicular,1.0,funcionando
